smiles,energy_max_osc
CCCCN1C(=O)C(=CC=CC=C2Oc3ccccc3N2CCCS(=O)(=O)[O-])C(=O)N(CCCC)C1=S,2.965
CCCCCCn1c2ccccc2c2cc(-c3ccc(-n4c(/C=C(/C#N)C(=O)O)ccc4/C=C/c4cc5cc(-c6ccc7c(c6)c6ccccc6n7CCCCCC)ccc5n4CCCC)cc3)ccc21,3.109
CC(C)(CNC(=O)Cn1c2ccccc2c(=O)c2ccccc21)N1CCCCC1,3.943
Fc1ccc(CN2C=C/C(=C\C=C\c3sc4ccccc4[n+]3Cc3ccc(F)cc3)c3ccccc32)cc1,2.682
CCc1c(CC)c(CC)c2c(c1CC)-c1c(CC)c(C)nc3c(CC)c(CC)c(CC)c-2c13,3.851
COc1cc(C(C(=O)Nc2ccc(N(C)C)cc2)N(Cc2ccc(F)cc2)C(=O)CN2C(=O)C(=O)c3ccccc32)cc(OC)c1OC,3.475
CC(=O)Nc1c[nH]c2ccccc12,4.819
Nc1ccc2c(c1)Cc1ccccc1-2,4.535
Cc1cc(/C=C/c2ccc(Oc3ccc(Cl)cc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,2.734
CC1(C)CC(=O)C(=C(O)C=Cc2ccc(N(c3ccc(-c4ccccc4)cc3)c3ccc(-c4ccccc4)cc3)cc2)C(=O)C1,3.3
O=C(N/N=C1/Nc2ccccc2C1=O)c1ccc(Cl)cc1,3.217
O=C1/C(=C/c2c3ccccc3cc3ccccc23)Sc2ccccc21,3.234
CC(C)(C)c1cc(-c2c3nc(cc4[nH]c(cc4/C=C/C(=O)O)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4nc(cc5[nH]c2cc5C=CC(=O)O)C(C=CC(=O)O)=C4)C(/C=C/C(=O)O)=C3)cc(C(C)(C)C)c1,3.6
CCCC[C@@H](CC)Cn1c2cc(-c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2c2nc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c3nc21,3.349
CCCCN1C(=CC=CC=CC2=[N+](CC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2cc(C(=O)O)ccc21,1.762
CCn1c(=O)cc[nH]c1=S,3.895
O=P1(c2ccccc2)C(c2cccs2)=C(c2cccs2)c2ccccc21,3.531
CCCCCCn1c2ccccc2c2cc(-c3ccc4c(c3)c3nc5cc(-c6ccc(/C=C(\C#N)C(=O)O)cc6)ccc5nc3n4CC)ccc21,3.844
C(=C/c1ccc(/C=C/c2c3ccccc3cc3ccccc23)cc1)\c1ccncc1,3.259
F[B-]1(F)[O+]=c2c(c3ccccc3n2Cc2ccccc2)=NN1c1ccccc1,3.521
CC(C)(C)c1ccc2c(c1)n[n+](-c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc21,3.767
CN(C)c1ccc(-c2nc3ncccn3n2)cc1,4.254
O=c1c2ccc3c4c(NC5CCCCC5)cc5c(=O)n(C6CCCCC6)c(=O)c6ccc(c7c(NC8CCCCC8)cc(c(=O)n1C1CCCCC1)c2c37)c4c65,2.368
CCCCCCN1C2CC(/C=C(\C#N)C(=O)O)SC2C2C3NN(CC(CC)CCCC)NC3C3C4SC(c5ccc(N(c6ccccc6)c6ccccc6)cc5)CC4N(CCCCCC)C3C21,4.335
COC(=O)COc1nc(-c2cccc(-c3ccccn3)n2)sc1C,3.996
Cc1cc(/C=C/c2cc([N+](=O)[O-])ccc2F)n2c1C=C1C=CC=[N+]1[B-]2(F)F,2.863
COc1cc(/N=N/c2ccc(N)cc2)c(C)cc1/N=N/c1c(S(=O)(=O)[O-])cc2ccc(N)cc2c1O,2.706
