ANCHORING_GROUP;PEAK_ABSORPTION_SOLUTION;DONOR;STRUCTURE;PEAK_ABSORPTION_METAL_OXIDE;METAL_OXIDE;SOLVENT;AGGREGATION;DOI
carboxylic;533;misc;CCCCOc1cc(ccc1/C=C/c1sc2c([n+]1CC(=O)O)cccc2)N(CC)CC.[Br-];500;TiO2;acetone;HYPSOCHROMIC;10.1016/j.jphotochem.2019.03.043
carboxylic;529;misc;CCCCCCOc1cc(ccc1/C=C/c1sc2c([n+]1CC(=O)O)cccc2)N(CC)CC.[Br-];500;TiO2;acetone;HYPSOCHROMIC;10.1016/j.jphotochem.2019.03.043
cyanoacrylic,carboxylic;425;misc;CCCCCCC1=C(SC(\C=C(/C#N)C(O)=O)=C1)C1=CC=C(S1)C1=C(CCCCCC)C=C(S1)C1=CC2=C(S1)C1=C(S2)C=CS1;455;TiO2;acetone;BATHOCHROMIC;10.1021/ol902327p
cyanoacrylic,carboxylic;406;diphenylamine;C(#N)/C(/C(=O)O)=C\C=1SC(=CC1)C1=CC=2C(C3=CC(=CC=C3C2C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)(CC)CC;431;TiO2;acetone;BATHOCHROMIC;10.1016/j.jphotochem.2012.10.006
cyanoacrylic,carboxylic;406;diphenylamine;CCC6(CC)c3cc(N(c1ccccc1)c2ccccc2)ccc3C5/C=C\C(c4ccc(/C=C(C#N)/C(=O)O)s4)=C/C56;431;Al2O3;acetone;BATHOCHROMIC;10.1016/j.jphotochem.2012.10.006
malononitrile;445;diphenylamine;C(#N)C(=CC1=CC=C(S1)C1=CC=C(C=C1)N(C1=CC=NC=C1)C1=CC=C(C=C1)C=1SC(=CC1)C=C(C#N)C#N)C#N;410;NiO;acetonitrile;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.044
pyridine,malononitrile;491;triphenylamine;N#CC(C#N)=Cc6ccc(c1ccc(cc1)N(c2ccc(cc2)c3ccncc3)c4ccc(cc4)c5ccc(C=C(C#N)C#N)s5)s6;487;NiO;acetonitrile;UNCHANGED;10.1016/j.dyepig.2019.02.044
pyridine,malononitrile;475;triphenylamine;N#CC(C#N)=Cc6ccc(c1ccc(cc1)N(c2ccc(cc2)c3ccncc3)c4ccc(cc4)c5ccncc5)s6;410;NiO;acetonitrile;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.044
pyridine;449;diphenylamine;n1ccc(cc1)N(c2ccc(cc2)c4ccc(C=Cc3cc[n+](cc3)C)s4)c5ccc(cc5)c7ccc(C=Cc6cc[n+](cc6)C)s7.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F;450;NiO;acetonitrile;UNCHANGED;10.1016/j.dyepig.2019.02.044
pyridine;478;triphenylamine;n1ccc(cc1)c2ccc(cc2)N(c3ccc(cc3)c5ccc(C=Cc4cc[n+](cc4)C)s5)c6ccc(cc6)c8ccc(C=Cc7cc[n+](cc7)C)s8.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F;465;NiO;acetonitrile;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.044
pyridine;471;triphenylamine;n1ccc(cc1)c2ccc(cc2)N(c3ccc(cc3)c4ccncc4)c5ccc(cc5)c7ccc(C=Cc6cc[n+](cc6)C)s7.F[P-](F)(F)(F)(F)F;410;NiO;acetonitrile;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.044
cyanoacrylic,carboxylic;374;carbazole;N#C/C(=C\c1ccc(cc1)n1c2ccccc2c2c1cccc2)/C(=O)O;384;TiO2;acetonitrile;UNCHANGED;10.1021/ol9022936
cyanoacrylic,carboxylic;429;carbazole;N#C/C(=C\c1ccc(s1)/C=C/c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O;411;TiO2;acetonitrile;HYPSOCHROMIC;10.1021/ol9022936
