smiles,energy_max_osc
Cc1n[nH]c(=O)c(C(=O)Nc2ccc(N=Nc3ccccc3)cc2)c1C,3.662
c1ccc(-c2ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,4.636
C1CCc2snnc2C1,4.187
CC1CC(C)(C)N=c2ccc3c4c(ccc3c21)=C(c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O)c1cc2c3c(c1O4)CCCN3CCCC2,2.509
CCCCN1/C(=C/C=C/C2=[N+](CCCC)c3ccc(C(=O)O)cc3C2(C)C)C(C)(C)c2c1ccc1cc(C#Cc3ccc(N(c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)ccc21,2.562
CCCCCCn1c2ccc(/C=C(\C#N)C(=O)O)cc2c2cc(-c3ccc(C=C(c4ccc(N5c6ccccc6Sc6ccccc65)cc4)c4ccc(N5c6ccccc6Sc6ccccc65)cc4)cc3)ccc21,3.603
O=C(Nc1ccc(/N=N/c2ccccc2)c(NC(=O)C2CCCO2)c1)C1CCCO1,3.517
CCCCCC1(CCCCC)COc2c(-c3ccc4c(c3)Sc3ccccc3N4c3ccc(OC)cc3)sc(-c3nc4sc(-c5sc(-c6ccc(C=C(C#N)C(=O)O)s6)c6c5OCC(CCCCC)(CCCCC)CO6)nc4s3)c2OC1,2.604
Cc1c2ccccc2nc2c(F)c(N3CCCC3)c(F)c(F)c12,3.473
Cc1ccc(N=Nc2cc(C)ccc2NC(=O)C2CCOCC2)cc1,3.446
CCCCCCCCn1c(=O)/c(=C/c2ccc(-c3ccc4c(c3)[C@H]3CCC[C@H]3N4c3ccc4c(c3)c3ccccc3n4CCCCC)s2)s/c1=C(/C#N)C(=O)O,2.871
O=C(c1ccc(Cl)cc1)c1cc(-c2ccccc2)on1,3.805
Cc1ccc(C(=O)c2cc(-c3ccccc3)on2)cc1,3.823
O=C(c1ccccc1)c1cc(-c2ccccc2)on1,3.804
O=C(c1ccc(Br)cc1)c1cc(-c2ccccc2)on1,3.8
O=C(O)C[C@H]1C(=O)/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)SC1=S,3.284
SCC[n+]1ccc(/C=C/c2ccc(-n3ccnc3)cc2)cc1,3.265
C1=Cc2c(ccc3ccccc23)OC1,4.043
CCCCCCCCCCCCn1c2ccc(-c3ccc(-c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)cc5)s4)s3)cc2c2cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)ccc21,2.976
CN(C)c1ccc(NC(=O)C(c2c[nH]c3ccccc23)N(Cc2ccccc2)C(=O)CN2C(=O)C(=O)c3ccccc32)cc1,3.556
CN(C)c1ccc(NC(=O)C(c2c[nH]c3ccccc23)N(Cc2ccc(F)cc2)C(=O)CN2C(=O)C(=O)c3ccccc32)cc1,3.492
COc1ccc(NC(=O)C(c2c[nH]c3ccccc23)N(Cc2ccccc2C)C(=O)CN2C(=O)C(=O)c3ccccc32)cc1,3.42
Cc1cccc(C)c1N1C(c2ccccc2)=Cc2cccc[n+]2[B-]1(F)F,3.788
Fc1c(F)c(F)c(-c2c3ccc(n3)c(-c3c(F)c(F)c(F)c(F)c3F)c3ccc([nH]3)c3ccc([nH]3)c(-c3c(F)c(F)c(F)c(F)c3F)c3ccc2[nH]3)c(F)c1F,3.856
